retailer,title,price_eur,unit_measure,product_url,image_url,canonical_unit,canonical_unit_price
ALDI,Wholegrain Mustard,0.69,0.2 KG,https://www.aldi.ie/product/bramwells-wholegrain-mustard-000000000335764001,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/8cc6f04a-ebb2-4afc-9341-88f3456f1396/Wholegrain%20Mustard,kg,3.4499999999999997
ALDI,English Mustard,0.69,0.2 KG,https://www.aldi.ie/product/bramwells-english-mustard-000000000335764002,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/cfe9b019-77b4-4533-83e4-f2078ba3f3b4/English%20Mustard,kg,3.4499999999999997
ALDI,Dijon Mustard,0.69,0.2 KG,https://www.aldi.ie/product/bramwells-dijon-mustard-000000000335764003,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/3487ea5e-0cd1-4769-9b22-b50422b61e41/Dijon%20Mustard,kg,3.4499999999999997
ALDI,2 Step Madras Curry Sauce,1.99,0.36 KG,https://www.aldi.ie/product/specially-selected-madras-hot-curry-sauce-000000000335774001,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/4d04a23e-b0c4-4304-96b6-a93fca5a7c0d/2%20Step%20Madras%20Curry%20Sauce,kg,5.527777777777778
ALDI,2 Step Jalfrezi Curry Sauce,1.99,0.36 KG,https://www.aldi.ie/product/specially-selected-2-step-jalfrezi-curry-sauce-000000000335774002,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/8669ebc9-24e2-466c-b931-bfee8d9d0c49/2%20Step%20Jalfrezi%20Curry%20Sauce,kg,5.527777777777778
ALDI,2 Step Balti Curry Sauce,1.99,0.36 KG,https://www.aldi.ie/product/specially-selected-2-step-balti-curry-sauce-000000000335774003,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/e04ce151-7a0b-4f46-b609-337163d2b6e6/2%20Step%20Balti%20Curry%20Sauce,kg,5.527777777777778
ALDI,2 Step Rogan Josh Curry Sauce,1.99,0.36 KG,https://www.aldi.ie/product/specially-selected-rogan-josh-hot-curry-sauce-000000000335774004,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/8d9c221e-6b10-4125-9319-2c05159038ee/2%20Step%20Rogan%20Josh%20Curry%20Sauce,kg,5.527777777777778
ALDI,2 Step Korma Curry Sauce,1.99,0.36 KG,https://www.aldi.ie/product/specially-selected-korma-curry-sauce-000000000335898002,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/5f95bb46-379e-43e7-9bda-92dbdb77b617/2%20Step%20Korma%20Curry%20Sauce,kg,5.527777777777778
ALDI,2 Step Saag Masala Curry Sauce,1.99,0.36 KG,https://www.aldi.ie/product/specially-selected-saag-masala-curry-sauce-000000000335898003,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/31f944f5-30b0-4e9b-a33e-566a9c09b1e4/2%20Step%20Saag%20Masala%20Curry%20Sauce,kg,5.527777777777778
ALDI,2 Step Tikka Masala Curry Sauce,1.99,0.36 KG,https://www.aldi.ie/product/specially-selected-tikka-masala-curry-sauce-000000000335898004,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/52bc2301-288a-4c9b-b634-221ad9f76905/2%20Step%20Tikka%20Masala%20Curry%20Sauce,kg,5.527777777777778
